sequence_number_1based,sample_index_0based,label_excel_row,sample_id,modality,raw_video_duration_s,aligned_start_s,aligned_end_s,feature_dimension,fixed_sequence_length,valid_sequence_length,available_positions,alignment_granularity,alignment_method,raw_video_path,modality_source_path,feature_sha256
4,3,5,-3g5yACwYnA$_$9,语音,8.816992,0.750000,8.130000,74,50,23,23,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3g5yACwYnA__9.wav,3482c04aa3a5b8ef8198ae40aefd3324f0b0f7944a00440bb6194212c729fb45
4,3,5,-3g5yACwYnA$_$9,视觉,8.816992,0.750000,8.130000,35,50,23,23,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3g5yACwYnA__9/9.csv,3482c04aa3a5b8ef8198ae40aefd3324f0b0f7944a00440bb6194212c729fb45
5,4,6,-3nNcZdcdvU$_$5,文本,7.867969,0.490000,7.230000,768,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3nNcZdcdvU__5.lab,09e080503d32be252693a9221c4e5e37c2956d7688624952c828c4caca2e2717
5,4,6,-3nNcZdcdvU$_$5,语音,7.867969,0.490000,7.230000,74,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-3nNcZdcdvU__5.wav,09e080503d32be252693a9221c4e5e37c2956d7688624952c828c4caca2e2717
5,4,6,-3nNcZdcdvU$_$5,视觉,7.867969,0.490000,7.230000,35,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-3nNcZdcdvU__5/5.csv,09e080503d32be252693a9221c4e5e37c2956d7688624952c828c4caca2e2717
6,5,7,-HwX2H8Z4hY$_$2,文本,3.982031,0.000000,3.420000,768,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__2.lab,292ed2ab938955c8dc16433cd87f24b64082591bedc16fa0a251a62f79497cca
6,5,7,-HwX2H8Z4hY$_$2,语音,3.982031,0.000000,3.420000,74,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__2.wav,292ed2ab938955c8dc16433cd87f24b64082591bedc16fa0a251a62f79497cca
6,5,7,-HwX2H8Z4hY$_$2,视觉,3.982031,0.000000,3.420000,35,50,5,2,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__2/2.csv,292ed2ab938955c8dc16433cd87f24b64082591bedc16fa0a251a62f79497cca
7,6,8,-HwX2H8Z4hY$_$5,文本,5.652995,0.750000,5.100000,768,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__5.lab,9e7511c76eea0b33de8448d6fa6e2d98d9947e9bceefe7754be82bcbfac97d77
7,6,8,-HwX2H8Z4hY$_$5,语音,5.652995,0.750000,5.100000,74,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__5.wav,9e7511c76eea0b33de8448d6fa6e2d98d9947e9bceefe7754be82bcbfac97d77
7,6,8,-HwX2H8Z4hY$_$5,视觉,5.652995,0.750000,5.100000,35,50,9,2,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__5/5.csv,9e7511c76eea0b33de8448d6fa6e2d98d9947e9bceefe7754be82bcbfac97d77
8,7,9,-HwX2H8Z4hY$_$6,文本,3.358008,0.540000,2.780000,768,50,7,7,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__6.lab,719ff7f555e8fb1dc3de8bb02f20d190ba2d66b868dcecb94cdb51209a115081
8,7,9,-HwX2H8Z4hY$_$6,语音,3.358008,0.540000,2.780000,74,50,7,7,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__6.wav,719ff7f555e8fb1dc3de8bb02f20d190ba2d66b868dcecb94cdb51209a115081
8,7,9,-HwX2H8Z4hY$_$6,视觉,3.358008,0.540000,2.780000,35,50,7,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__6/6.csv,719ff7f555e8fb1dc3de8bb02f20d190ba2d66b868dcecb94cdb51209a115081
9,8,10,-HwX2H8Z4hY$_$9,文本,7.733984,0.510000,7.636312,768,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__9.lab,2344bdee2aec065d6ec774954ebd8aa5b5aa5ebac0f622cbfc940c71f2b7cb9c
9,8,10,-HwX2H8Z4hY$_$9,语音,7.733984,0.510000,7.636312,74,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-HwX2H8Z4hY__9.wav,2344bdee2aec065d6ec774954ebd8aa5b5aa5ebac0f622cbfc940c71f2b7cb9c
9,8,10,-HwX2H8Z4hY$_$9,视觉,7.733984,0.510000,7.636312,35,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-HwX2H8Z4hY__9/9.csv,2344bdee2aec065d6ec774954ebd8aa5b5aa5ebac0f622cbfc940c71f2b7cb9c
10,9,11,-NFrJFQijFE$_$1,文本,5.746000,0.100000,5.658875,768,50,16,16,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__1.lab,4aff72afb1e047eadb378258f26de1da3dda15efc72b5673b30aeeb6addda9c5
10,9,11,-NFrJFQijFE$_$1,语音,5.746000,0.100000,5.658875,74,50,16,16,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__1.wav,4aff72afb1e047eadb378258f26de1da3dda15efc72b5673b30aeeb6addda9c5
10,9,11,-NFrJFQijFE$_$1,视觉,5.746000,0.100000,5.658875,35,50,16,0,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-NFrJFQijFE__1/1.csv,4aff72afb1e047eadb378258f26de1da3dda15efc72b5673b30aeeb6addda9c5
11,10,12,-NFrJFQijFE$_$2,文本,6.856000,0.000000,6.698313,768,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__2.lab,122a5b39aab70d29b547cceb6f23c0ca430c1267aaa0aa9141cdf386a53b0231
11,10,12,-NFrJFQijFE$_$2,语音,6.856000,0.000000,6.698313,74,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-NFrJFQijFE__2.wav,122a5b39aab70d29b547cceb6f23c0ca430c1267aaa0aa9141cdf386a53b0231
11,10,12,-NFrJFQijFE$_$2,视觉,6.856000,0.000000,6.698313,35,50,18,0,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-NFrJFQijFE__2/2.csv,122a5b39aab70d29b547cceb6f23c0ca430c1267aaa0aa9141cdf386a53b0231
12,11,13,-THoVjtIkeU$_$12,文本,14.896029,1.580000,14.290000,768,50,39,39,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__12.lab,2e1283b14141449e34794fd03ac57113c035d73521ebd391558a94635f947370
12,11,13,-THoVjtIkeU$_$12,语音,14.896029,1.580000,14.290000,74,50,39,39,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__12.wav,2e1283b14141449e34794fd03ac57113c035d73521ebd391558a94635f947370
12,11,13,-THoVjtIkeU$_$12,视觉,14.896029,1.580000,14.290000,35,50,39,39,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-THoVjtIkeU__12/12.csv,2e1283b14141449e34794fd03ac57113c035d73521ebd391558a94635f947370
13,12,14,-THoVjtIkeU$_$2,文本,4.291992,0.030000,3.720000,768,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__2.lab,24a6012c3b7f66d7f3baa8da5879f660a3186566b272acaf507a72057a41d388
13,12,14,-THoVjtIkeU$_$2,语音,4.291992,0.030000,3.720000,74,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__2.wav,24a6012c3b7f66d7f3baa8da5879f660a3186566b272acaf507a72057a41d388
13,12,14,-THoVjtIkeU$_$2,视觉,4.291992,0.030000,3.720000,35,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-THoVjtIkeU__2/2.csv,24a6012c3b7f66d7f3baa8da5879f660a3186566b272acaf507a72057a41d388
14,13,15,-THoVjtIkeU$_$6,文本,8.097005,0.480000,7.600000,768,50,30,30,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__6.lab,17501e693a5fab5028b57dba0346ee145886685592f5a83bf2d75d38d404943a
14,13,15,-THoVjtIkeU$_$6,语音,8.097005,0.480000,7.600000,74,50,30,30,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-THoVjtIkeU__6.wav,17501e693a5fab5028b57dba0346ee145886685592f5a83bf2d75d38d404943a
14,13,15,-THoVjtIkeU$_$6,视觉,8.097005,0.480000,7.600000,35,50,30,30,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-THoVjtIkeU__6/6.csv,17501e693a5fab5028b57dba0346ee145886685592f5a83bf2d75d38d404943a
15,14,16,-UuX1xuaiiE$_$1,文本,10.350000,0.000000,9.780000,768,50,27,27,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__1.lab,051baca1f2977c1022fcd61d21fe7eaab1ab17317f8b3b0f0bb7e106d1f346b8
15,14,16,-UuX1xuaiiE$_$1,语音,10.350000,0.000000,9.780000,74,50,27,27,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__1.wav,051baca1f2977c1022fcd61d21fe7eaab1ab17317f8b3b0f0bb7e106d1f346b8
15,14,16,-UuX1xuaiiE$_$1,视觉,10.350000,0.000000,9.780000,35,50,27,27,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-UuX1xuaiiE__1/1.csv,051baca1f2977c1022fcd61d21fe7eaab1ab17317f8b3b0f0bb7e106d1f346b8
16,15,17,-UuX1xuaiiE$_$0,文本,3.633333,0.000000,3.360000,768,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__0.lab,c780392328d8d0b11e78e81401a36bcc6146d895f2ceece6d14ae2cdda23ec91
16,15,17,-UuX1xuaiiE$_$0,语音,3.633333,0.000000,3.360000,74,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__0.wav,c780392328d8d0b11e78e81401a36bcc6146d895f2ceece6d14ae2cdda23ec91
16,15,17,-UuX1xuaiiE$_$0,视觉,3.633333,0.000000,3.360000,35,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-UuX1xuaiiE__0/0.csv,c780392328d8d0b11e78e81401a36bcc6146d895f2ceece6d14ae2cdda23ec91
17,16,18,-UuX1xuaiiE$_$3,文本,4.130013,0.000000,3.690000,768,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__3.lab,2af908d6ab3482e9f6f7f786ff076b3ca629b5d89624ae2fb4753cfd097084a0
17,16,18,-UuX1xuaiiE$_$3,语音,4.130013,0.000000,3.690000,74,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__3.wav,2af908d6ab3482e9f6f7f786ff076b3ca629b5d89624ae2fb4753cfd097084a0
17,16,18,-UuX1xuaiiE$_$3,视觉,4.130013,0.000000,3.690000,35,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-UuX1xuaiiE__3/3.csv,2af908d6ab3482e9f6f7f786ff076b3ca629b5d89624ae2fb4753cfd097084a0
18,17,19,-UuX1xuaiiE$_$6,文本,8.113997,0.540000,7.420000,768,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__6.lab,266647a7721207f4c732dcef45ee33a1cacc408d0820dda19ed9642d8e4dab33
18,17,19,-UuX1xuaiiE$_$6,语音,8.113997,0.540000,7.420000,74,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-UuX1xuaiiE__6.wav,266647a7721207f4c732dcef45ee33a1cacc408d0820dda19ed9642d8e4dab33
18,17,19,-UuX1xuaiiE$_$6,视觉,8.113997,0.540000,7.420000,35,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-UuX1xuaiiE__6/6.csv,266647a7721207f4c732dcef45ee33a1cacc408d0820dda19ed9642d8e4dab33
19,18,20,-a55Q6RWvTA$_$3,文本,22.153971,0.520000,21.610001,768,50,50,50,连续词组,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-a55Q6RWvTA__3.lab,d9e8342edc2805890511a2f643210b12924ad2777778caab3c1948249b2a7853
19,18,20,-a55Q6RWvTA$_$3,语音,22.153971,0.520000,21.610001,74,50,50,50,连续词组,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-a55Q6RWvTA__3.wav,d9e8342edc2805890511a2f643210b12924ad2777778caab3c1948249b2a7853
19,18,20,-a55Q6RWvTA$_$3,视觉,22.153971,0.520000,21.610001,35,50,50,50,连续词组,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-a55Q6RWvTA__3/3.csv,d9e8342edc2805890511a2f643210b12924ad2777778caab3c1948249b2a7853
20,19,21,-aNfi7CP8vM$_$7,文本,8.694987,0.500000,8.000000,768,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-aNfi7CP8vM__7.lab,8cdb7878206c4265d5bca21efcf46bcdee88fc2225d35c744b721e89d5f4bc3a
20,19,21,-aNfi7CP8vM$_$7,语音,8.694987,0.500000,8.000000,74,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-aNfi7CP8vM__7.wav,8cdb7878206c4265d5bca21efcf46bcdee88fc2225d35c744b721e89d5f4bc3a
20,19,21,-aNfi7CP8vM$_$7,视觉,8.694987,0.500000,8.000000,35,50,18,18,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-aNfi7CP8vM__7/7.csv,8cdb7878206c4265d5bca21efcf46bcdee88fc2225d35c744b721e89d5f4bc3a
21,20,22,-aqamKhZ1Ec$_$0,文本,10.966667,0.040000,10.380000,768,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-aqamKhZ1Ec__0.lab,1bad14d4e19ed1950477b4d89b8344e7206071d395b31ae7eb2ae9d5f4165ad8
21,20,22,-aqamKhZ1Ec$_$0,语音,10.966667,0.040000,10.380000,74,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-aqamKhZ1Ec__0.wav,1bad14d4e19ed1950477b4d89b8344e7206071d395b31ae7eb2ae9d5f4165ad8
21,20,22,-aqamKhZ1Ec$_$0,视觉,10.966667,0.040000,10.380000,35,50,14,14,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-aqamKhZ1Ec__0/0.csv,1bad14d4e19ed1950477b4d89b8344e7206071d395b31ae7eb2ae9d5f4165ad8
